eerm,gcn,64.318 ± 6.646,53.756 ± 0.527,59.004 ± 5.126,50.656 ± 0.576,56.721 ± 0.195,54.999 ± 2.551,
2-gstopr,r=0.5,g=1.0,gcn,63.943 ± 4.680,54.597 ± 0.839,55.181 ± 3.852,50.305 ± 1.051,49.447 ± 4.934,52.789 ± 3.508,
1-gstopr,r=0.5,g=1.0,gcn,68.143 ± 3.446,54.523 ± 0.854,59.726 ± 7.391,50.392 ± 1.071,56.509 ± 0.297,52.719 ± 3.491,
2-gstopr,r=0.5,g=1.0,gcn,64.961 ± 3.015,54.476 ± 0.701,57.525 ± 2.873,50.261 ± 0.892,48.716 ± 4.128,54.019 ± 2.845,
1-erm,gcn,63.626 ± 4.567,53.566 ± 0.119,49.451 ± 2.608,50.952 ± 0.485,55.086 ± 4.056,55.061 ± 2.629,
2-erm,gcn,61.467 ± 4.178,53.984 ± 0.642,54.299 ± 2.675,49.948 ± 0.665,47.556 ± 3.133,51.109 ± 5.241,
3-gstopr,r=0.5,g=1.0,gcn,70.257 ± 8.028,54.369 ± 0.438,60.796 ± 4.932,51.012 ± 1.127,52.984 ± 5.712,54.650 ± 2.363,
3-erm,gcn,64.634 ± 8.603,53.884 ± 0.287,60.601 ± 9.704,51.789 ± 1.121,51.881 ± 6.393,54.058 ± 4.099,
3-gstopr,r=0.5,g=0.0,gcn,67.528 ± 2.181,54.535 ± 0.422,58.156 ± 4.100,51.203 ± 1.392,49.993 ± 4.720,55.311 ± 1.858,
2-gstopr,r=0.5,g=0.0,gcn,69.362 ± 6.796,54.310 ± 0.467,62.399 ± 3.456,50.883 ± 1.415,49.102 ± 2.774,54.553 ± 1.814,
1-gstopr,r=0.5,g=0.0,gcn,72.277 ± 2.233,54.422 ± 0.995,66.269 ± 4.237,51.111 ± 0.679,56.786 ± 0.210,54.673 ± 1.718,
1-gstopr,r=0.3,g=1.0,gcn,73.732 ± 5.531,55.292 ± 0.464,67.948 ± 5.741,50.622 ± 1.251,57.012 ± 0.367,53.093 ± 2.758,
1-gstopr,r=0.5,g=1.0,gcn,67.646 ± 5.581,54.460 ± 0.627,56.232 ± 4.582,50.917 ± 0.390,56.337 ± 0.743,54.247 ± 1.807,
3-eerm,gcn,66.164 ± 8.417,53.724 ± 0.243,59.828 ± 5.305,51.642 ± 0.752,54.747 ± 4.523,56.129 ± 0.310,
3-gstopr,r=0.5,g=0.0,gcn,67.671 ± 4.449,54.423 ± 0.275,59.609 ± 4.055,51.510 ± 1.339,51.051 ± 5.362,55.523 ± 1.963,
2-gstopr,r=0.5,g=1.0,gcn,65.439 ± 2.706,54.299 ± 0.737,58.897 ± 3.926,50.302 ± 1.251,49.942 ± 4.069,52.017 ± 4.526,
3-gstopr,r=0.5,g=1.0,gcn,68.835 ± 5.311,54.395 ± 0.443,61.756 ± 4.105,51.314 ± 1.498,51.933 ± 5.303,54.977 ± 2.420,
2-gstopr,r=0.5,g=0.0,gcn,67.766 ± 3.562,54.175 ± 0.412,64.675 ± 2.512,50.411 ± 1.185,51.716 ± 4.793,53.347 ± 3.270,

49.978 ± 1.005,56.877 ± 0.300,54.376 ± 0.605,50.065 ± 1.065,51.028 ± 3.338,52.848 ± 3.422,,51.938 ± 1.352,56.881 ± 0.388,56.104 ± 0.301,
