erm,gcn,34.415 ± 0.614,22.942 ± 0.160,32.204 ± 0.810,18.069 ± 0.245,10.950 ± 0.339,6.587 ± 0.299,
gstopr,r=0.5,g=1.0,gcn,36.515 ± 0.211,24.479 ± 0.233,34.215 ± 1.563,18.445 ± 0.417,10.844 ± 0.392,6.352 ± 0.213,
gstopr,r=0.3,g=1.0,gcn,35.843 ± 0.206,24.598 ± 0.166,33.853 ± 0.601,17.839 ± 0.379,10.408 ± 0.278,6.062 ± 0.108,
erm,gpr,62.168 ± 1.074,51.938 ± 0.428,60.130 ± 1.324,47.429 ± 0.304,45.254 ± 0.438,41.727 ± 0.625,
gstopr,r=0.9,g=1.0,gpr,61.824 ± 0.488,51.551 ± 0.213,60.428 ± 1.010,46.282 ± 0.769,43.952 ± 1.003,40.433 ± 1.052,
gstopr,r=0.5,g=1.0,gat,95.696 ± nan,48.057 ± nan,63.450 ± nan,41.580 ± nan,37.767 ± nan,36.068 ± nan,
erm,gat,97.759 ± nan,47.871 ± nan,59.066 ± nan,41.919 ± nan,37.372 ± nan,34.502 ± nan,
gstopr,r=0.5,g=0.0,gpr,62.168 ± 1.108,51.681 ± 0.476,59.374 ± 0.501,46.747 ± 0.575,44.221 ± 0.667,40.680 ± 0.816,
gstopr,r=0.5,g=1.0,sage,87.883 ± 0.266,47.044 ± 0.381,64.181 ± 3.652,43.073 ± 1.624,40.787 ± 2.450,38.424 ± 2.202,
gstopr,r=0.3,g=1.0,sage,78.609 ± 0.543,47.245 ± 0.405,61.221 ± 2.098,43.019 ± 0.653,40.553 ± 1.030,37.744 ± 1.715,
gstopr,r=0.7,g=1.0,sage,79.600 ± 0.202,46.759 ± 0.555,63.612 ± 3.150,42.948 ± 1.339,40.799 ± 2.073,37.919 ± 2.442,
gstopr,r=0.5,g=0.0,sage,81.500 ± 0.985,46.372 ± 1.483,61.178 ± 2.254,41.902 ± 1.706,39.411 ± 2.389,37.246 ± 3.420,
gstopr,r=0.5,g=1.0,sage,86.010 ± 1.588,47.138 ± 0.644,59.739 ± 2.149,43.535 ± 0.993,41.805 ± 0.994,39.038 ± 1.460,
gstopr,r=0.5,g=0.0,sage,89.025 ± 0.552,46.112 ± 1.346,62.146 ± 2.086,41.652 ± 1.480,38.993 ± 2.143,36.345 ± 1.225,
